date,datatype,station,attributes,value
2020-03-01T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2020-03-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2020-03-03T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-03-04T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2020-03-05T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2020-03-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2020-03-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2020-03-08T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2020-03-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-03-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2020-03-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-03-12T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2020-03-13T00:00:00,AWND,GHCND:USW00093193,",,W,",5.3
2020-03-14T00:00:00,AWND,GHCND:USW00093193,",,W,",5.6
2020-03-15T00:00:00,AWND,GHCND:USW00093193,",,W,",5.5
2020-03-16T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2020-03-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2020-03-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2020-03-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2020-03-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2020-03-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2020-03-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2020-03-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2020-03-24T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2020-03-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2020-03-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2020-03-27T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2020-03-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2020-03-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2020-03-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2020-03-31T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2020-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",5.0
