date,datatype,station,attributes,value
2017-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2017-05-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2017-05-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2017-05-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2017-05-05T00:00:00,AWND,GHCND:USW00093193,",,W,",5.6
2017-05-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2017-05-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2017-05-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2017-05-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2017-05-10T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2017-05-11T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2017-05-12T00:00:00,AWND,GHCND:USW00093193,",,W,",7.4
2017-05-13T00:00:00,AWND,GHCND:USW00093193,",,W,",5.2
2017-05-14T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2017-05-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2017-05-16T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2017-05-17T00:00:00,AWND,GHCND:USW00093193,",,W,",5.7
2017-05-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2017-05-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2017-05-20T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2017-05-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2017-05-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2017-05-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2017-05-24T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2017-05-25T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2017-05-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2017-05-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2017-05-28T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2017-05-29T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2017-05-30T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2017-05-31T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2017-06-01T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
