date,datatype,station,attributes,value
2019-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2019-04-02T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-04-03T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2019-04-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-04-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-04-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2019-04-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-04-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-04-09T00:00:00,AWND,GHCND:USW00093193,",,W,",8.9
2019-04-10T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2019-04-11T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-04-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2019-04-13T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-04-14T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2019-04-15T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2019-04-16T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-04-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2019-04-18T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2019-04-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2019-04-20T00:00:00,AWND,GHCND:USW00093193,",,W,",5.9
2019-04-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-04-22T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2019-04-23T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-04-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-04-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-04-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-04-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-04-28T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-04-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-04-30T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
