date,datatype,station,attributes,value
2020-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",5.0
2020-04-02T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2020-04-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2020-04-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2020-04-05T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
2020-04-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2020-04-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2020-04-08T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2020-04-09T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2020-04-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-04-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-04-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2020-04-13T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-04-14T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2020-04-15T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2020-04-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2020-04-17T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2020-04-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2020-04-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2020-04-20T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2020-04-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2020-04-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2020-04-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2020-04-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2020-04-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2020-04-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2020-04-27T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2020-04-28T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2020-04-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2020-04-30T00:00:00,AWND,GHCND:USW00093193,",,W,",6.6
2020-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
