date,datatype,station,attributes,value
2019-07-01T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2019-07-02T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-07-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2019-07-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2019-07-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-07-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2019-07-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-07-08T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2019-07-09T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-07-10T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2019-07-11T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2019-07-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-07-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-07-14T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2019-07-15T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2019-07-16T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2019-07-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-07-18T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-07-19T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-07-20T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-07-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-07-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-07-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-07-24T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-07-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-07-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2019-07-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-07-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2019-07-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2019-07-30T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-07-31T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-08-01T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
