date,datatype,station,attributes,value
2016-03-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2016-03-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2016-03-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2016-03-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-03-05T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2016-03-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2016-03-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2016-03-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2016-03-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2016-03-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2016-03-11T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2016-03-12T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2016-03-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2016-03-14T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2016-03-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2016-03-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2016-03-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2016-03-18T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2016-03-19T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2016-03-20T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2016-03-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2016-03-22T00:00:00,AWND,GHCND:USW00093193,",,W,",6.2
2016-03-23T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2016-03-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-03-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2016-03-26T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2016-03-27T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2016-03-28T00:00:00,AWND,GHCND:USW00093193,",,W,",5.2
2016-03-29T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2016-03-30T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-03-31T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
