date,datatype,station,attributes,value
2021-02-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2021-02-02T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2021-02-03T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2021-02-04T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2021-02-05T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2021-02-06T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2021-02-07T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2021-02-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2021-02-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2021-02-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-02-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-02-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2021-02-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2021-02-14T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2021-02-15T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2021-02-16T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2021-02-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2021-02-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2021-02-19T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2021-02-20T00:00:00,AWND,GHCND:USW00093193,",,W,",5.9
2021-02-21T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-02-22T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2021-02-23T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2021-02-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2021-02-25T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2021-02-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2021-02-27T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2021-02-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-03-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
