date,datatype,station,attributes,value
2017-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2017-04-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2017-04-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2017-04-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2017-04-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2017-04-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2017-04-07T00:00:00,AWND,GHCND:USW00093193,",,W,",5.5
2017-04-08T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2017-04-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2017-04-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2017-04-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2017-04-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2017-04-13T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
2017-04-14T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
2017-04-15T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2017-04-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2017-04-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2017-04-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2017-04-19T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2017-04-20T00:00:00,AWND,GHCND:USW00093193,",,W,",6.1
2017-04-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2017-04-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2017-04-23T00:00:00,AWND,GHCND:USW00093193,",,W,",5.5
2017-04-24T00:00:00,AWND,GHCND:USW00093193,",,W,",7.2
2017-04-25T00:00:00,AWND,GHCND:USW00093193,",,W,",6.4
2017-04-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2017-04-27T00:00:00,AWND,GHCND:USW00093193,",,W,",7.2
2017-04-28T00:00:00,AWND,GHCND:USW00093193,",,W,",6.0
2017-04-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2017-04-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2017-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
