date,datatype,station,attributes,value
2018-11-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2018-11-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2018-11-03T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2018-11-04T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2018-11-05T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2018-11-06T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2018-11-07T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2018-11-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2018-11-09T00:00:00,AWND,GHCND:USW00093193,",,W,",0.7
2018-11-10T00:00:00,AWND,GHCND:USW00093193,",,W,",0.5
2018-11-11T00:00:00,AWND,GHCND:USW00093193,",,W,",0.3
2018-11-12T00:00:00,AWND,GHCND:USW00093193,",,W,",0.0
2018-11-14T00:00:00,AWND,GHCND:USW00093193,",,W,",0.0
2018-11-15T00:00:00,AWND,GHCND:USW00093193,",,W,",0.7
2018-11-16T00:00:00,AWND,GHCND:USW00093193,",,W,",0.2
2018-11-17T00:00:00,AWND,GHCND:USW00093193,",,W,",0.4
2018-11-18T00:00:00,AWND,GHCND:USW00093193,",,W,",0.3
2018-11-19T00:00:00,AWND,GHCND:USW00093193,",,W,",0.6
2018-11-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2018-11-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2018-11-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-11-23T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-11-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2018-11-25T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2018-11-26T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2018-11-27T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2018-11-28T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2018-11-29T00:00:00,AWND,GHCND:USW00093193,",,W,",5.8
2018-11-30T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2018-12-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
