date,datatype,station,attributes,value
2021-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2021-04-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-04-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2021-04-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2021-04-05T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2021-04-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2021-04-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2021-04-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2021-04-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2021-04-10T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2021-04-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2021-04-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2021-04-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2021-04-14T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2021-04-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-04-16T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2021-04-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2021-04-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-04-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2021-04-20T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2021-04-21T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2021-04-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2021-04-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2021-04-24T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2021-04-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2021-04-26T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
2021-04-27T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-04-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2021-04-29T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2021-04-30T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2021-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",5.7
