date,datatype,station,attributes,value
2016-01-01T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2016-01-02T00:00:00,AWND,GHCND:USW00093193,",,W,",0.8
2016-01-03T00:00:00,AWND,GHCND:USW00093193,",,W,",0.8
2016-01-04T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2016-01-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2016-01-06T00:00:00,AWND,GHCND:USW00093193,",,W,",5.7
2016-01-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2016-01-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-01-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-01-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2016-01-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2016-01-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-01-13T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2016-01-14T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2016-01-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-01-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2016-01-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2016-01-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2016-01-19T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2016-01-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2016-01-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-01-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2016-01-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2016-01-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-01-25T00:00:00,AWND,GHCND:USW00093193,",,W,",0.5
2016-01-26T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2016-01-27T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2016-01-28T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2016-01-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2016-01-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2016-01-31T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2016-02-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
