date,datatype,station,attributes,value
2019-09-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-09-02T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-09-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-09-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2019-09-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-09-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-09-07T00:00:00,AWND,GHCND:USW00093193,",,W,",4.8
2019-09-08T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-09-09T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-09-10T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2019-09-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-09-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-09-13T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-09-14T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-09-15T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-09-16T00:00:00,AWND,GHCND:USW00093193,",,W,",5.0
2019-09-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2019-09-18T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2019-09-19T00:00:00,AWND,GHCND:USW00093193,",,W,",4.8
2019-09-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-09-21T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2019-09-22T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2019-09-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-09-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2019-09-25T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2019-09-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-09-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-09-28T00:00:00,AWND,GHCND:USW00093193,",,W,",4.9
2019-09-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2019-09-30T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2019-10-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
